CNT,TARGET,CURRENT,COUNTS
0,0,0,0
1,5,4,6
2,5,5,16
3,5,5,26
4,5,5,35
5,5,5,44
6,5,5,53
7,5,5,62
8,5,5,72
9,5,5,82
10,10,5,92
11,10,8,106
12,10,9,122
13,10,10,140
14,10,10,159
15,10,10,178
16,10,9,196
17,10,10,214
18,10,10,233
19,10,10,252
20,10,10,271
21,15,13,294
22,15,15,320
23,15,15,347
24,15,15,376
25,15,15,403
26,15,15,431
27,15,16,459
28,15,14,487
29,15,15,514
30,15,15,542
31,20,18,572
32,20,19,607
33,20,21,644
34,20,21,682
35,20,20,720
36,20,19,757
37,20,19,794
38,20,20,830
39,20,20,867
40,20,19,904
41,25,23,943
42,25,25,987
43,25,25,1033
44,25,27,1080
45,25,26,1126
46,25,25,1172
47,25,24,1218
48,25,26,1264
49,25,23,1309
50,25,25,1355
51,30,30,1405
52,30,29,1458
53,30,30,1513
54,30,31,1568
55,30,29,1623
56,30,30,1678
57,30,30,1732
58,30,31,1788
59,30,32,1844
60,30,32,1899
61,35,33,1957
62,35,33,2018
63,35,35,2081
64,35,35,2146
65,35,35,2211
66,35,36,2276
67,35,35,2340
68,35,35,2403
69,35,35,2467
70,40,36,2532
71,40,38,2600
72,40,39,2671
73,40,38,2743
74,40,40,2815
75,40,39,2889
76,40,41,2963
77,40,39,3036
78,40,38,3108
79,40,40,3181
80,45,40,3255
81,45,42,3332
82,45,45,3412
83,45,43,3492
84,45,46,3574
85,45,45,3658
86,45,45,3740
87,45,44,3822
88,45,46,3903
89,45,47,3986
90,50,45,4069
91,50,47,4154
92,50,47,4238
93,50,47,4324
94,50,48,4410
95,50,47,4496
96,50,45,4580
97,50,47,4666
98,50,47,4752
99,50,48,4838
100,55,46,4924
101,55,48,5008
102,55,45,5095
103,55,48,5181
104,55,46,5267
105,55,48,5352
106,55,45,5439
107,55,48,5525
108,55,48,5611
109,55,48,5696
110,60,48,5782
111,60,47,5869
112,60,47,5956
113,60,47,6041
114,60,48,6128
115,60,48,6214
116,60,47,6301
117,60,47,6387
118,60,45,6472
119,60,47,6559
120,65,47,6646
121,65,46,6732
122,65,47,6818
123,65,46,6904
124,65,47,6991
125,65,46,7077
126,65,46,7162
127,65,47,7249
128,65,47,7336
129,65,48,7423
130,65,47,7508
131,70,48,7595
132,70,48,7682
133,70,46,7769
134,70,47,7854
135,70,49,7941
