CNT,TARGET,CURRENT,COUNTS
0,0,3,0
1,5,4,4
2,5,5,14
3,5,5,24
4,5,5,34
5,5,5,43
6,5,5,53
7,5,5,62
8,5,4,72
9,5,5,81
10,10,5,91
11,10,8,104
12,10,9,121
13,10,10,140
14,10,10,160
15,10,10,180
16,10,10,199
17,10,10,218
18,10,10,237
19,10,10,256
20,15,10,275
21,15,12,296
22,15,14,322
23,15,15,350
24,15,15,377
25,15,15,405
26,15,14,432
27,15,14,460
28,15,15,488
29,15,16,516
30,20,15,545
31,20,18,576
32,20,20,612
33,20,19,647
34,20,21,684
35,20,20,721
36,20,20,758
37,20,19,794
38,20,19,830
39,20,20,867
40,25,21,905
41,25,23,946
42,25,24,990
43,25,24,1035
44,25,25,1081
45,25,26,1126
46,25,25,1172
47,25,27,1217
48,25,26,1264
49,25,25,1311
50,30,25,1357
51,30,29,1406
52,30,29,1459
53,30,30,1513
54,30,31,1567
55,30,30,1623
56,30,32,1679
57,30,32,1734
58,30,30,1789
59,30,32,1844
60,30,28,1898
61,35,35,1956
62,35,36,2019
63,35,36,2084
64,35,34,2149
65,35,35,2213
66,35,34,2276
67,35,37,2340
68,35,35,2406
69,35,35,2470
70,35,36,2534
71,40,38,2601
72,40,40,2672
73,40,41,2746
74,40,40,2820
75,40,40,2893
76,40,40,2966
77,40,40,3038
78,40,40,3112
79,40,43,3186
80,40,39,3260
81,45,41,3335
82,45,46,3415
83,45,45,3498
84,45,45,3581
85,45,45,3664
86,45,46,3745
87,45,46,3828
88,45,44,3910
89,45,45,3993
90,50,47,4074
91,50,48,4158
92,50,47,4244
93,50,48,4330
94,50,44,4415
95,50,47,4499
96,50,47,4585
97,50,47,4671
98,50,46,4757
99,50,46,4841
100,55,47,4927
101,55,49,5014
102,55,47,5100
103,55,48,5185
104,55,48,5271
105,55,47,5358
106,55,45,5445
107,55,47,5530
108,55,46,5616
109,55,47,5703
110,55,46,5789
111,60,48,5875
112,60,44,5961
113,60,47,6048
114,60,48,6135
115,60,48,6221
116,60,48,6306
117,60,48,6393
118,60,47,6480
119,60,48,6567
120,65,47,6652
121,65,47,6739
122,65,48,6826
123,65,47,6912
124,65,48,6998
125,65,46,7084
126,65,49,7172
127,65,47,7259
128,65,48,7344
129,65,48,7431
130,70,48,7518
131,70,47,7605
132,70,48,7691
133,70,47,7777
134,70,48,7864
135,70,47,7952
136,70,46,8038
137,70,48,8124
138,70,47,8211
139,70,48,8299
140,75,46,8385
141,75,46,8471
142,75,48,8558
143,75,48,8646
144,75,48,8732
145,75,48,8818
146,75,48,8905
147,75,48,8993
148,75,48,9079
149,75,46,9165
150,80,47,9252
151,80,49,9339
152,80,47,9426
153,80,49,9512
154,80,47,9599
155,80,49,9686
156,80,48,9773
157,80,46,9859
158,80,48,9945
159,80,49,10032
160,80,46,10120
161,85,46,10206
162,85,47,10292
163,85,48,10380
164,85,47,10467
165,85,47,10553
166,85,48,10639
167,85,48,10726
168,85,47,10814
169,85,46,10900
170,85,48,10986
171,90,49,11073
172,90,47,11160
173,90,47,11247
174,90,48,11333
175,90,49,11420
176,90,48,11508
177,90,47,11594
178,90,47,11680
179,90,47,11767
180,90,47,11855
181,95,48,11942
182,95,47,12028
183,95,47,12114
184,95,47,12202
185,95,47,12289
186,95,47,12375
187,95,48,12461
188,95,48,12549
189,95,47,12636
190,100,46,12722
191,100,48,12808
192,100,49,12895
193,100,45,12982
194,100,47,13069
195,100,46,13154
196,100,47,13242
197,100,48,13329
198,100,46,13416
199,100,49,13501
200,100,49,13588
201,95,48,13676
202,95,46,13763
203,95,48,13848
204,95,48,13935
205,95,45,14022
206,95,47,14110
207,95,48,14195
208,95,47,14282
209,95,48,14369
210,90,46,14456
211,90,46,14542
212,90,48,14629
213,90,48,14716
214,90,48,14804
215,90,46,14889
216,90,47,14976
217,90,47,15063
218,90,47,15150
219,90,47,15236
220,90,47,15322
221,85,47,15410
222,85,48,15497
223,85,46,15583
224,85,47,15669
225,85,49,15756
226,85,48,15843
227,85,47,15930
228,85,47,16016
229,85,48,16102
230,80,48,16190
231,80,48,16277
232,80,46,16362
233,80,48,16449
234,80,47,16536
235,80,48,16624
236,80,46,16709
237,80,47,16796
238,80,47,16883
239,80,47,16970
240,75,46,17056
241,75,47,17142
242,75,47,17229
243,75,47,17316
244,75,46,17402
245,75,48,17488
246,75,49,17576
247,75,48,17663
248,75,47,17749
249,75,47,17835
250,70,47,17922
251,70,47,18009
252,70,46,18096
253,70,47,18181
254,70,47,18268
255,70,48,18356
256,70,47,18443
257,70,47,18528
258,70,48,18615
259,70,49,18703
260,65,46,18790
261,65,46,18875
262,65,48,18962
263,65,48,19049
264,65,48,19136
265,65,46,19222
266,65,49,19309
267,65,48,19396
268,65,46,19483
269,65,46,19569
270,60,47,19655
271,60,47,19742
272,60,47,19830
273,60,47,19916
274,60,48,20002
275,60,44,20089
276,60,48,20176
277,60,47,20262
278,60,48,20348
279,60,47,20435
280,55,49,20522
281,55,47,20609
282,55,47,20694
283,55,49,20780
284,55,49,20868
285,55,47,20954
286,55,48,21039
287,55,48,21126
288,55,48,21213
289,55,47,21300
290,50,46,21385
291,50,45,21470
292,50,46,21557
293,50,48,21643
294,50,46,21728
295,50,45,21813
296,50,48,21899
297,50,48,21985
298,50,45,22070
299,50,47,22154
300,45,48,22241
301,45,47,22325
302,45,41,22407
303,45,45,22488
304,45,47,22571
305,45,46,22654
306,45,46,22736
307,45,45,22817
308,45,46,22900
309,45,46,22983
310,40,45,23066
311,40,41,23145
312,40,41,23220
313,40,40,23295
314,40,40,23369
315,40,40,23442
316,40,40,23514
317,40,39,23586
318,40,42,23660
319,40,39,23734
320,35,41,23807
321,35,37,23876
322,35,38,23942
323,35,38,24008
324,35,34,24073
325,35,36,24137
326,35,35,24201
327,35,35,24264
328,35,36,24329
329,35,36,24394
330,30,35,24458
331,30,30,24520
332,30,30,24576
333,30,30,24632
334,30,31,24688
335,30,31,24744
336,30,30,24799
337,30,30,24854
338,30,31,24909
339,30,29,24962
340,25,32,25018
341,25,27,25071
342,25,26,25119
343,25,26,25165
344,25,26,25210
345,25,25,25256
346,25,24,25300
347,25,24,25346
348,25,25,25393
349,25,26,25440
350,20,26,25486
351,20,23,25530
352,20,19,25569
353,20,19,25606
354,20,19,25642
355,20,21,25678
356,20,20,25715
357,20,20,25753
358,20,21,25791
359,20,20,25829
360,15,20,25866
361,15,17,25900
362,15,15,25929
363,15,16,25957
364,15,14,25985
365,15,14,26012
366,15,15,26039
367,15,16,26068
368,15,15,26097
369,15,15,26126
370,15,16,26155
371,10,13,26180
372,10,11,26201
373,10,11,26220
374,10,10,26240
375,10,10,26259
376,10,10,26278
377,10,10,26296
378,10,9,26314
379,10,10,26333
380,5,9,26351
381,5,6,26366
382,5,5,26377
383,5,5,26388
384,5,5,26399
385,5,5,26410
386,5,6,26421
387,5,5,26431
388,5,5,26442
389,5,5,26452
390,5,5,26462
391,0,0,26465
392,0,-2,26464
393,0,3,26466
394,0,0,26465
395,0,-3,26463
396,0,3,26466
397,0,-3,26463
398,0,3,26466
399,0,-2,26462
400,-5,3,26466
401,-5,-6,26458
402,-5,-5,26447
403,-5,-5,26436
404,-5,-5,26426
405,-5,-5,26415
406,-5,-5,26405
407,-5,-5,26395
408,-5,-5,26385
409,-5,-5,26376
410,-5,-4,26367
411,-10,-8,26354
412,-10,-10,26336
413,-10,-10,26316
414,-10,-10,26296
415,-10,-11,26277
416,-10,-10,26257
417,-10,-10,26238
418,-10,-10,26219
419,-10,-10,26200
420,-15,-10,26182
421,-15,-13,26160
422,-15,-14,26134
423,-15,-14,26106
424,-15,-15,26078
425,-15,-16,26050
426,-15,-15,26023
427,-15,-14,25996
428,-15,-15,25968
429,-15,-14,25940
430,-15,-16,25911
431,-20,-17,25880
432,-20,-19,25845
433,-20,-19,25809
434,-20,-20,25772
435,-20,-21,25735
436,-20,-20,25698
437,-20,-20,25661
438,-20,-19,25625
439,-20,-20,25588
440,-25,-21,25550
441,-25,-24,25510
442,-25,-24,25466
443,-25,-24,25420
