CNT,TARGET,CURRENT,COUNTS
0,0,0,0
1,5,6,6
2,5,6,17
3,5,5,28
4,5,5,38
5,5,5,48
6,5,5,58
7,5,5,67
8,5,5,76
9,5,5,86
10,5,5,96
11,10,8,110
12,10,9,126
13,10,10,145
14,10,10,163
15,10,10,182
16,10,10,201
17,10,10,219
18,10,10,237
19,10,10,256
20,10,10,275
21,15,14,298
22,15,14,324
23,15,15,351
24,15,15,380
25,15,15,408
26,15,14,435
27,15,15,463
28,15,15,491
29,15,15,519
30,15,15,547
31,20,17,577
32,20,19,611
33,20,20,648
34,20,20,686
35,20,22,724
36,20,20,761
37,20,21,798
38,20,19,834
39,20,19,871
40,20,19,908
41,25,22,947
42,25,23,990
43,25,25,1036
44,25,26,1083
45,25,27,1130
46,25,24,1176
47,25,24,1222
48,25,24,1268
49,25,25,1313
50,25,24,1358
51,30,28,1408
52,30,30,1462
53,30,31,1516
54,30,30,1571
55,30,31,1626
56,30,30,1680
57,30,29,1734
58,30,31,1790
59,30,29,1846
60,30,31,1901
61,35,32,1959
62,35,33,2021
63,35,35,2083
64,35,34,2148
65,35,35,2214
66,35,34,2278
67,35,37,2342
68,35,34,2406
69,35,35,2469
70,35,35,2534
71,40,38,2602
72,40,40,2673
73,40,40,2745
74,40,41,2817
75,40,41,2891
76,40,41,2964
77,40,41,3038
78,40,40,3110
79,40,39,3182
80,40,41,3256
81,45,43,3333
82,45,42,3413
83,45,44,3494
84,45,45,3576
85,45,47,3659
86,45,44,3742
87,45,46,3824
88,45,46,3905
89,45,46,3988
90,45,46,4071
91,50,46,4155
92,50,46,4239
93,50,46,4324
94,50,47,4411
95,50,47,4497
96,50,47,4582
97,50,48,4667
98,50,46,4753
99,50,48,4839
100,50,45,4924
101,55,47,5009
102,55,46,5095
103,55,47,5182
104,55,47,5268
105,55,45,5353
106,55,46,5439
107,55,48,5526
108,55,47,5612
109,55,45,5697
110,55,47,5783
111,60,48,5870
112,60,46,5957
113,60,47,6042
114,60,48,6128
115,60,47,6215
116,60,47,6302
117,60,47,6388
118,60,47,6474
119,60,45,6561
120,60,47,6648
121,65,47,6734
122,65,46,6820
123,65,48,6906
124,65,47,6994
125,65,47,7080
126,65,48,7165
127,65,48,7252
128,65,48,7340
129,65,48,7426
130,65,45,7512
131,70,47,7598
132,70,48,7685
133,70,46,7772
134,70,48,7857
135,70,48,7944
136,70,45,8031
137,70,48,8118
138,70,46,8204
139,70,48,8290
140,70,49,8377
141,75,47,8464
142,75,46,8550
143,75,48,8636
144,75,46,8723
145,75,47,8810
146,75,46,8896
147,75,47,8982
148,75,48,9068
149,75,47,9156
150,75,47,9242
151,80,46,9328
152,80,46,9414
153,80,49,9502
154,80,46,9588
155,80,46,9673
156,80,48,9760
157,80,48,9847
158,80,47,9934
159,80,48,10019
160,80,46,10106
161,85,49,10192
162,85,48,10279
163,85,46,10365
164,85,47,10451
165,85,47,10538
166,85,46,10625
167,85,47,10711
168,85,48,10796
169,85,48,10883
170,85,47,10970
171,90,46,11056
172,90,47,11142
173,90,46,11229
174,90,48,11316
175,90,47,11402
176,90,48,11488
177,90,46,11574
178,90,48,11662
179,90,48,11748
180,90,48,11834
181,95,48,11920
182,95,49,12008
183,95,46,12094
184,95,48,12180
185,95,48,12266
186,95,48,12353
187,95,47,12440
188,95,48,12526
189,95,47,12612
190,95,48,12699
191,100,47,12786
192,100,47,12872
193,100,48,12958
194,100,45,13045
195,100,47,13132
196,100,46,13218
197,100,48,13304
198,100,45,13391
199,100,47,13478
200,100,47,13564
201,95,47,13650
202,95,47,13737
203,95,48,13824
204,95,47,13910
205,95,46,13996
206,95,48,14083
207,95,48,14170
208,95,49,14256
209,95,47,14342
210,95,48,14428
211,90,48,14515
212,90,47,14602
213,90,46,14688
214,90,47,14774
215,90,47,14861
216,90,49,14948
217,90,47,15034
218,90,47,15120
219,90,49,15207
220,90,47,15294
221,85,46,15380
222,85,48,15466
223,85,47,15553
224,85,48,15640
225,85,47,15726
226,85,47,15812
227,85,48,15898
228,85,47,15986
229,85,48,16072
230,85,48,16158
231,80,47,16244
232,80,47,16332
233,80,48,16418
234,80,47,16504
235,80,49,16590
236,80,47,16678
237,80,48,16764
238,80,46,16850
239,80,48,16936
240,80,48,17023
241,75,48,17110
242,75,47,17196
243,75,48,17282
244,75,48,17369
245,75,46,17456
246,75,46,17542
247,75,46,17628
248,75,48,17715
249,75,47,17802
250,75,48,17888
251,70,47,17974
252,70,46,18061
253,70,46,18148
254,70,46,18234
255,70,47,18320
256,70,48,18406
257,70,48,18494
258,70,46,18580
259,70,47,18666
260,70,48,18752
261,65,48,18839
262,65,46,18926
263,65,47,19012
264,65,46,19098
265,65,48,19185
266,65,48,19272
267,65,47,19358
268,65,48,19444
269,65,44,19531
270,65,47,19618
271,60,46,19704
272,60,47,19789
273,60,49,19876
274,60,48,19964
275,60,48,20050
276,60,47,20135
277,60,48,20222
278,60,47,20309
279,60,46,20395
280,60,48,20480
281,55,48,20567
282,55,48,20654
283,55,47,20740
284,55,47,20825
285,55,47,20911
286,55,48,20998
287,55,46,21085
288,55,45,21170
289,55,46,21256
290,55,48,21343
291,50,45,21428
292,50,46,21513
293,50,47,21598
294,50,47,21684
295,50,47,21770
296,50,45,21855
297,50,46,21940
298,50,47,22026
299,50,47,22111
300,50,46,22196
301,45,47,22279
302,45,45,22361
303,45,44,22443
304,45,44,22525
305,45,44,22606
306,45,46,22689
307,45,46,22772
308,45,44,22854
309,45,44,22936
310,45,45,23018
311,40,44,23098
312,40,41,23173
313,40,39,23246
314,40,40,23318
315,40,43,23391
316,40,38,23465
317,40,39,23538
318,40,39,23611
319,40,39,23682
320,40,39,23756
321,35,37,23827
322,35,36,23893
323,35,36,23957
324,35,35,24020
325,35,33,24084
326,35,36,24149
327,35,34,24214
328,35,34,24278
329,35,32,24342
330,35,35,24405
331,30,32,24467
332,30,30,24525
333,30,30,24580
334,30,31,24636
335,30,28,24690
336,30,29,24744
337,30,31,24799
338,30,32,24855
339,30,30,24911
340,25,31,24966
341,25,28,25018
342,25,24,25065
343,25,25,25111
344,25,26,25158
345,25,25,25205
346,25,26,25251
347,25,25,25297
348,25,24,25343
349,25,25,25389
350,25,25,25434
351,20,21,25476
352,20,21,25516
353,20,20,25555
354,20,19,25592
355,20,20,25629
356,20,20,25667
357,20,19,25704
358,20,20,25740
359,20,20,25776
360,20,20,25812
361,15,18,25847
362,15,16,25878
363,15,16,25908
364,15,16,25936
365,15,16,25964
366,15,14,25992
367,15,16,26020
368,15,15,26048
369,15,15,26076
370,15,15,26103
371,10,11,26127
372,10,10,26147
373,10,10,26166
374,10,10,26185
375,10,11,26206
376,10,11,26226
377,10,10,26245
378,10,11,26264
379,10,10,26284
380,10,10,26303
381,5,7,26319
382,5,6,26331
383,5,5,26342
384,5,5,26352
385,5,5,26362
386,5,5,26373
387,5,6,26384
388,5,5,26394
389,5,5,26404
390,5,5,26413
391,0,0,26416
392,0,0,26415
393,0,0,26416
394,0,0,26416
395,0,0,26415
396,0,3,26417
397,0,-3,26414
398,0,3,26417
399,0,-3,26414
400,0,3,26417
401,-5,-6,26409
402,-5,-5,26398
403,-5,-5,26388
404,-5,-5,26377
405,-5,-5,26366
406,-5,-5,26356
407,-5,-5,26346
408,-5,-5,26336
409,-5,-5,26326
410,-5,-5,26316
411,-10,-8,26303
412,-10,-10,26285
413,-10,-10,26267
414,-10,-10,26248
415,-10,-10,26229
416,-10,-10,26210
417,-10,-10,26192
418,-10,-10,26173
419,-10,-10,26155
420,-10,-10,26137
421,-15,-14,26115
422,-15,-16,26088
423,-15,-15,26059
424,-15,-14,26031
425,-15,-16,26003
426,-15,-14,25975
427,-15,-15,25947
428,-15,-15,25919
429,-15,-15,25891
430,-15,-15,25863
431,-20,-18,25832
432,-20,-17,25798
433,-20,-21,25762
434,-20,-20,25725
435,-20,-20,25687
436,-20,-21,25650
437,-20,-21,25613
438,-20,-20,25576
439,-20,-21,25538
440,-20,-20,25501
441,-25,-23,25462
442,-25,-25,25418
443,-25,-25,25373
444,-25,-24,25327
445,-25,-25,25281
446,-25,-25,25235
447,-25,-23,25188
448,-25,-25,25142
449,-25,-25,25096
450,-25,-24,25051
451,-30,-26,25002
452,-30,-29,24949
453,-30,-32,24894
454,-30,-30,24839
455,-30,-30,24783
456,-30,-33,24728
457,-30,-28,24674
458,-30,-32,24619
459,-30,-31,24564
460,-30,-30,24508
461,-35,-34,24450
462,-35,-35,24388
463,-35,-34,24325
464,-35,-33,24261
465,-35,-36,24196
466,-35,-34,24132
467,-35,-36,24068
468,-35,-34,24003
469,-35,-38,23940
470,-35,-35,23876
471,-40,-39,23808
472,-40,-41,23737
473,-40,-43,23664
474,-40,-39,23591
475,-40,-42,23518
476,-40,-40,23445
477,-40,-40,23372
478,-40,-41,23298
479,-40,-41,23226
480,-40,-39,23153
481,-45,-44,23077
482,-45,-44,22997
483,-45,-45,22915
484,-45,-45,22833
485,-45,-45,22751
486,-45,-44,22668
487,-45,-45,22586
488,-45,-44,22504
489,-45,-46,22421
490,-45,-46,22338
491,-50,-48,22253
492,-50,-46,22168
493,-50,-47,22082
494,-50,-45,21996
495,-50,-47,21909
496,-50,-46,21823
497,-50,-46,21738
498,-50,-49,21652
499,-50,-47,21565
500,-50,-48,21479
501,-55,-48,21393
502,-55,-48,21307
503,-55,-49,21220
504,-55,-47,21132
505,-55,-48,21046
506,-55,-48,20960
507,-55,-48,20873
508,-55,-49,20786
509,-55,-47,20699
