CNT,TARGET,CURRENT,COUNTS
0,0,0,0
1,5,5,4
2,5,5,14
3,5,5,25
4,5,5,36
5,5,5,46
6,5,5,57
7,5,5,68
8,5,5,78
9,5,5,88
10,5,5,99
11,10,8,113
12,10,10,130
13,10,10,148
14,10,10,167
15,10,10,186
16,10,10,204
17,10,10,223
18,10,10,242
19,10,10,260
20,10,10,280
21,15,13,302
22,15,14,328
23,15,15,355
24,15,15,382
25,15,15,410
26,15,15,438
27,15,15,465
28,15,15,493
29,15,15,521
30,15,15,548
31,20,18,579
32,20,19,614
33,20,20,651
34,20,20,688
35,20,20,725
36,20,19,762
37,20,20,798
38,20,20,835
39,20,20,872
40,25,20,909
41,25,23,949
42,25,25,993
43,25,25,1038
44,25,25,1084
45,25,25,1130
46,25,25,1176
47,25,25,1222
48,25,25,1268
49,25,24,1314
50,25,25,1360
51,30,27,1409
52,30,30,1462
53,30,30,1516
54,30,30,1571
55,30,30,1626
56,30,30,1682
57,30,31,1737
58,30,30,1792
59,30,30,1847
60,35,30,1902
61,35,32,1960
62,35,35,2022
63,35,35,2086
64,35,35,2151
65,35,35,2215
66,35,35,2279
67,35,35,2343
68,35,35,2408
69,35,36,2472
70,40,34,2536
71,40,37,2603
72,40,39,2674
73,40,39,2747
74,40,39,2820
75,40,41,2894
76,40,39,2967
77,40,39,3040
78,40,40,3113
79,40,40,3186
80,40,40,3260
81,45,43,3336
82,45,44,3415
83,45,45,3497
84,45,45,3580
85,45,43,3662
86,45,46,3744
87,45,44,3826
88,45,47,3909
89,45,45,3991
90,50,45,4073
91,50,48,4158
92,50,49,4247
93,50,49,4337
94,50,48,4427
95,50,50,4516
96,50,49,4607
97,50,49,4697
98,50,47,4786
99,50,49,4876
100,55,50,4966
101,55,49,5056
102,55,48,5146
103,55,50,5237
104,55,50,5328
105,55,50,5418
106,55,50,5509
107,55,49,5600
108,55,50,5690
109,55,50,5781
110,60,50,5871
111,60,49,5961
112,60,49,6052
113,60,50,6143
114,60,49,6234
115,60,49,6324
116,60,50,6415
117,60,50,6506
118,60,50,6597
119,60,50,6687
120,65,50,6778
121,65,52,6869
122,65,49,6960
123,65,49,7050
124,65,50,7140
125,65,50,7232
126,65,49,7322
127,65,49,7412
128,65,50,7503
129,65,50,7594
130,65,49,7684
131,70,50,7775
132,70,50,7866
133,70,50,7957
134,70,50,8048
135,70,50,8138
136,70,49,8229
137,70,49,8320
138,70,50,8410
139,70,49,8500
140,75,51,8591
141,75,50,8682
142,75,49,8772
143,75,50,8862
144,75,49,8953
145,75,49,9044
146,75,49,9134
147,75,50,9224
148,75,49,9314
149,75,50,9405
150,75,49,9495
151,80,49,9585
152,80,50,9676
153,80,50,9767
154,80,49,9857
155,80,50,9948
156,80,50,10038
157,80,48,10129
158,80,50,10219
159,80,49,10309
160,85,49,10400
161,85,49,10490
162,85,49,10580
163,85,49,10670
164,85,50,10761
165,85,50,10852
166,85,50,10942
167,85,49,11032
168,85,50,11122
169,85,49,11213
170,90,50,11304
171,90,49,11394
172,90,49,11484
173,90,48,11575
174,90,51,11665
175,90,48,11755
176,90,49,11846
177,90,49,11936
178,90,50,12026
179,90,50,12116
180,95,50,12207
181,95,50,12298
182,95,50,12388
183,95,49,12478
184,95,49,12568
185,95,47,12658
186,95,51,12748
187,95,49,12839
188,95,50,12929
189,95,50,13020
190,100,49,13110
191,100,49,13200
192,100,49,13291
193,100,49,13382
194,100,50,13472
195,100,50,13562
196,100,50,13654
197,100,49,13744
198,100,49,13835
199,100,50,13925
200,95,49,14016
201,95,50,14106
202,95,49,14196
203,95,51,14286
204,95,50,14377
205,95,49,14468
206,95,49,14558
207,95,50,14648
208,95,50,14738
209,95,48,14829
210,90,49,14919
211,90,50,15009
212,90,50,15100
213,90,49,15190
214,90,50,15280
215,90,51,15370
216,90,50,15461
217,90,49,15551
218,90,49,15641
219,90,49,15732
220,90,50,15822
221,85,49,15912
222,85,49,16002
223,85,50,16092
224,85,50,16183
225,85,49,16274
226,85,49,16364
227,85,50,16454
228,85,51,16546
229,85,50,16636
230,85,49,16726
231,80,48,16817
232,80,50,16908
233,80,50,16998
234,80,50,17088
235,80,49,17179
236,80,49,17270
237,80,49,17360
238,80,49,17450
239,80,50,17540
240,75,50,17630
241,75,48,17720
242,75,49,17810
243,75,51,17900
244,75,50,17991
245,75,49,18081
246,75,51,18171
247,75,50,18261
248,75,49,18352
249,75,49,18442
250,70,49,18532
251,70,49,18622
252,70,49,18712
253,70,50,18802
254,70,49,18892
255,70,50,18982
256,70,50,19072
257,70,49,19163
258,70,48,19253
259,70,47,19343
260,65,50,19434
261,65,49,19524
