CNT,TARGET,CURRENT,COUNTS
0,0,-3,0
1,5,6,10
2,5,5,21
3,5,5,31
4,5,5,41
5,5,5,52
6,5,5,62
7,5,5,73
8,5,5,83
9,5,5,93
10,5,5,103
11,10,8,117
12,10,9,134
13,10,10,152
14,10,10,171
15,10,10,189
16,10,10,208
17,10,10,226
18,10,10,245
19,10,10,263
20,10,10,283
21,15,13,305
22,15,15,331
23,15,15,358
24,15,15,386
25,15,15,413
26,15,15,441
27,15,15,469
28,15,15,496
29,15,15,523
30,20,15,551
31,20,18,582
32,20,19,617
33,20,20,653
34,20,20,691
35,20,20,728
36,20,20,765
37,20,20,802
38,20,19,839
39,20,20,876
40,25,20,913
41,25,23,952
42,25,25,996
43,25,25,1042
44,25,26,1088
45,25,25,1134
46,25,25,1179
47,25,25,1225
48,25,25,1271
49,25,25,1317
50,30,25,1364
51,30,28,1413
52,30,29,1466
53,30,30,1520
54,30,30,1575
55,30,29,1630
56,30,30,1685
57,30,30,1741
58,30,30,1796
59,30,30,1851
60,30,30,1906
61,35,32,1964
62,35,34,2026
63,35,35,2089
64,35,35,2154
65,35,35,2219
66,35,34,2283
67,35,35,2347
68,35,35,2411
69,35,35,2475
70,35,36,2539
71,40,38,2607
72,40,38,2677
73,40,40,2750
74,40,41,2823
75,40,40,2897
76,40,40,2971
77,40,39,3044
78,40,40,3117
79,40,40,3190
80,40,40,3264
81,45,43,3339
82,45,44,3419
83,45,45,3501
84,45,46,3583
85,45,46,3666
86,45,45,3748
87,45,45,3830
88,45,45,3912
89,45,46,3995
90,50,45,4077
91,50,50,4162
92,50,48,4251
93,50,50,4340
94,50,51,4429
95,50,48,4519
96,50,47,4608
97,50,49,4697
98,50,51,4786
99,50,49,4875
100,50,51,4964
101,55,50,5053
102,55,49,5143
103,55,47,5233
104,55,49,5323
105,55,49,5414
106,55,50,5505
107,55,49,5595
108,55,49,5685
109,55,50,5775
110,60,50,5866
111,60,49,5956
112,60,49,6047
113,60,50,6137
114,60,49,6228
115,60,51,6318
116,60,49,6408
117,60,50,6499
118,60,49,6589
119,60,50,6679
120,60,49,6770
121,65,50,6861
122,65,49,6951
123,65,49,7041
124,65,50,7131
125,65,49,7222
126,65,50,7313
127,65,50,7403
128,65,50,7494
129,65,49,7585
130,70,50,7675
131,70,52,7766
132,70,50,7857
133,70,50,7947
134,70,49,8039
135,70,49,8129
136,70,50,8219
137,70,49,8311
138,70,50,8401
139,70,53,8491
140,75,50,8582
141,75,50,8673
142,75,50,8765
143,75,50,8855
144,75,50,8946
145,75,49,9037
146,75,48,9128
147,75,50,9219
148,75,50,9310
149,75,50,9401
150,80,50,9492
151,80,49,9583
152,80,50,9673
153,80,50,9765
154,80,47,9856
155,80,49,9946
156,80,50,10037
157,80,50,10128
158,80,49,10219
159,80,49,10309
160,85,50,10400
161,85,50,10491
162,85,49,10582
163,85,50,10672
164,85,49,10763
165,85,50,10853
166,85,50,10944
167,85,49,11034
168,85,50,11125
169,85,50,11215
170,85,49,11306
171,90,49,11396
172,90,50,11487
173,90,49,11578
174,90,49,11668
175,90,50,11759
176,90,50,11849
177,90,48,11940
178,90,49,12031
179,90,50,12121
180,95,49,12212
181,95,50,12303
182,95,50,12393
183,95,49,12483
184,95,50,12574
185,95,50,12665
186,95,50,12755
187,95,50,12846
188,95,49,12936
189,95,49,13027
190,95,49,13118
191,100,49,13208
192,100,50,13299
193,100,50,13390
194,100,50,13481
195,100,49,13572
196,100,50,13663
197,100,49,13753
198,100,50,13844
199,100,50,13935
200,100,50,14025
201,95,50,14116
202,95,49,14207
203,95,50,14297
204,95,49,14388
205,95,50,14479
206,95,50,14569
207,95,50,14659
208,95,50,14750
209,95,50,14841
210,95,49,14931
211,90,52,15021
212,90,50,15112
213,90,50,15203
214,90,49,15293
215,90,51,15384
216,90,50,15475
217,90,49,15566
218,90,49,15657
219,90,49,15747
220,85,49,15838
221,85,50,15929
222,85,50,16019
223,85,50,16109
224,85,51,16200
225,85,50,16291
226,85,51,16381
227,85,49,16472
228,85,50,16563
229,85,49,16654
230,85,50,16744
231,80,49,16835
232,80,50,16925
233,80,50,17016
234,80,49,17107
235,80,50,17197
236,80,49,17287
237,80,49,17378
238,80,50,17469
239,80,50,17559
240,80,50,17651
241,75,50,17741
242,75,48,17831
243,75,49,17922
244,75,50,18013
245,75,49,18103
246,75,50,18194
247,75,51,18284
248,75,50,18375
249,75,50,18465
250,70,48,18555
251,70,47,18645
252,70,50,18737
253,70,50,18827
254,70,49,18917
255,70,51,19008
256,70,49,19099
257,70,50,19189
258,70,49,19279
259,70,49,19370
260,65,50,19461
261,65,50,19551
262,65,49,19641
263,65,48,19732
264,65,49,19823
265,65,50,19913
266,65,49,20003
267,65,49,20093
268,65,48,20184
269,65,50,20275
270,65,49,20365
271,60,50,20455
272,60,50,20545
273,60,52,20636
274,60,49,20726
275,60,50,20817
276,60,49,20907
277,60,50,20997
278,60,50,21088
279,60,51,21178
280,55,49,21269
281,55,50,21359
282,55,49,21449
283,55,50,21539
284,55,50,21629
285,55,50,21719
286,55,49,21809
287,55,49,21899
288,55,50,21989
289,55,49,22080
290,55,49,22170
291,50,49,22259
292,50,49,22348
293,50,49,22438
294,50,48,22527
295,50,50,22616
296,50,48,22705
297,50,49,22795
298,50,48,22883
299,50,49,22973
300,50,49,23062
301,45,47,23149
302,45,45,23233
303,45,45,23316
304,45,45,23399
305,45,45,23481
306,45,45,23563
307,45,45,23645
308,45,46,23728
309,45,45,23810
310,45,45,23892
311,40,42,23971
312,40,40,24047
313,40,40,24120
