CNT,TARGET,CURRENT,COUNTS
0,0,0,0
1,5,5,7
2,5,6,17
3,5,5,28
4,5,5,38
5,5,5,49
6,5,5,60
7,5,5,70
8,5,5,81
9,5,5,92
10,5,5,102
11,10,8,116
12,10,9,133
13,10,10,152
14,10,10,170
15,10,10,189
16,10,10,208
17,10,10,227
18,10,10,246
19,10,10,265
20,10,10,284
21,15,13,305
22,15,14,331
23,15,15,358
24,15,15,386
25,15,15,414
26,15,15,442
27,15,15,469
28,15,15,497
29,15,15,525
30,15,15,553
31,20,18,584
32,20,20,619
33,20,19,655
34,20,20,692
35,20,20,729
36,20,20,766
37,20,20,802
38,20,20,840
39,20,20,876
40,20,20,914
41,25,23,954
42,25,24,998
43,25,24,1043
44,25,24,1089
45,25,25,1135
46,25,25,1181
47,25,25,1227
48,25,24,1274
49,25,25,1320
50,25,25,1366
51,30,28,1415
52,30,30,1468
53,30,29,1522
54,30,31,1578
55,30,30,1633
56,30,30,1688
57,30,30,1744
58,30,30,1798
59,30,30,1854
60,35,30,1908
61,35,34,1966
62,35,34,2028
63,35,34,2092
64,35,34,2156
65,35,35,2220
66,35,35,2284
67,35,35,2349
68,35,35,2413
69,35,35,2478
70,35,35,2542
71,40,39,2608
72,40,40,2680
73,40,40,2752
74,40,39,2826
75,40,40,2899
76,40,40,2972
77,40,41,3045
78,40,41,3118
79,40,40,3192
80,40,40,3265
81,45,42,3340
82,45,44,3420
83,45,45,3502
84,45,45,3585
85,45,45,3668
86,45,45,3750
87,45,46,3832
88,45,45,3915
89,45,44,3997
90,50,45,4079
91,50,48,4164
92,50,48,4254
93,50,49,4343
94,50,49,4432
95,50,49,4522
96,50,49,4612
97,50,49,4702
98,50,48,4791
99,50,50,4880
100,50,50,4970
101,55,49,5060
102,55,50,5150
103,55,49,5241
104,55,50,5332
105,55,50,5422
106,55,49,5512
107,55,51,5603
108,55,49,5694
109,55,50,5784
110,60,49,5874
111,60,48,5965
112,60,50,6056
113,60,49,6146
114,60,48,6236
115,60,50,6327
116,60,50,6418
117,60,49,6509
118,60,50,6599
119,60,50,6690
120,65,50,6780
121,65,49,6871
122,65,50,6961
123,65,50,7052
124,65,52,7142
125,65,50,7233
126,65,50,7324
127,65,50,7414
128,65,49,7505
129,65,49,7596
130,70,50,7686
131,70,50,7778
132,70,50,7869
133,70,50,7960
134,70,52,8051
135,70,50,8142
136,70,50,8234
137,70,49,8324
138,70,50,8415
139,70,50,8506
140,75,50,8597
141,75,50,8688
142,75,51,8779
143,75,50,8870
144,75,48,8961
145,75,50,9052
146,75,50,9142
147,75,51,9232
148,75,49,9324
149,75,50,9414
150,80,49,9505
151,80,50,9596
152,80,50,9686
153,80,50,9777
154,80,50,9868
155,80,50,9958
156,80,50,10050
157,80,49,10140
158,80,50,10230
159,80,50,10321
160,80,49,10412
161,85,50,10503
162,85,50,10594
163,85,50,10684
164,85,50,10776
165,85,52,10867
166,85,50,10958
167,85,49,11049
168,85,50,11140
169,85,48,11231
170,90,50,11322
171,90,49,11412
172,90,50,11504
173,90,50,11594
174,90,50,11685
175,90,50,11776
176,90,48,11867
177,90,49,11958
178,90,50,12048
179,90,50,12139
180,90,50,12230
181,95,50,12320
182,95,50,12410
183,95,50,12501
184,95,50,12592
185,95,49,12682
186,95,49,12772
187,95,50,12862
188,95,50,12953
189,95,49,13044
190,95,49,13134
191,100,49,13224
192,100,50,13315
193,100,49,13406
194,100,49,13496
195,100,50,13586
196,100,50,13677
197,100,49,13767
198,100,49,13858
199,100,50,13948
200,95,49,14038
201,95,52,14129
202,95,50,14219
203,95,50,14309
204,95,49,14400
205,95,49,14490
206,95,49,14580
207,95,50,14670
208,95,49,14760
209,95,49,14850
210,95,49,14940
211,90,50,15031
212,90,49,15122
213,90,50,15212
214,90,49,15302
215,90,50,15392
216,90,49,15483
217,90,51,15573
218,90,50,15663
219,90,50,15754
220,90,50,15844
221,85,49,15934
222,85,50,16024
223,85,52,16115
224,85,49,16206
225,85,49,16296
226,85,50,16386
227,85,50,16477
228,85,49,16568
229,85,50,16658
230,85,49,16748
231,80,50,16839
232,80,50,16930
233,80,49,17020
234,80,50,17111
235,80,50,17202
236,80,50,17292
237,80,49,17382
238,80,50,17472
239,80,50,17563
240,80,50,17653
241,75,49,17743
242,75,50,17834
243,75,49,17924
244,75,49,18014
245,75,49,18104
246,75,49,18194
247,75,50,18285
248,75,49,18376
249,75,49,18466
250,70,50,18556
251,70,49,18647
252,70,50,18737
253,70,50,18827
254,70,50,18917
255,70,50,19008
256,70,50,19098
257,70,49,19188
258,70,50,19278
259,70,49,19368
260,70,49,19459
261,65,50,19550
262,65,49,19640
263,65,49,19730
264,65,50,19821
265,65,48,19910
266,65,49,20001
267,65,50,20091
268,65,49,20182
269,65,50,20272
270,60,50,20362
271,60,50,20452
272,60,50,20542
273,60,49,20632
274,60,49,20722
275,60,50,20813
276,60,48,20903
277,60,50,20993
278,60,51,21083
279,60,49,21173
280,60,50,21263
281,55,48,21353
282,55,51,21443
283,55,48,21533
284,55,50,21623
285,55,49,21712
286,55,49,21802
287,55,51,21893
288,55,52,21983
289,55,49,22072
290,55,50,22162
291,50,49,22252
292,50,49,22340
293,50,49,22429
294,50,48,22518
295,50,49,22608
296,50,49,22697
297,50,49,22786
298,50,48,22876
299,50,49,22965
300,45,49,23054
301,45,48,23141
302,45,46,23225
303,45,45,23308
304,45,45,23390
305,45,45,23472
306,45,44,23554
307,45,46,23636
308,45,44,23718
309,45,45,23801
310,45,42,23882
311,40,42,23962
312,40,41,24038
313,40,40,24112
314,40,40,24184
315,40,39,24258
316,40,40,24331
317,40,40,24404
318,40,40,24478
319,40,40,24550
320,40,40,24624
321,35,37,24694
322,35,35,24761
323,35,35,24826
324,35,35,24890
325,35,35,24954
326,35,35,25018
327,35,35,25082
328,35,35,25146
329,35,34,25210
330,30,35,25274
331,30,33,25336
332,30,31,25394
333,30,30,25449
334,30,30,25505
335,30,30,25560
336,30,30,25615
337,30,30,25670
338,30,30,25725
339,30,30,25780
340,30,30,25836
341,25,28,25888
342,25,26,25936
343,25,25,25983
344,25,25,26029
345,25,25,26076
346,25,25,26122
347,25,25,26168
348,25,25,26214
349,25,25,26260
350,25,25,26306
351,20,23,26350
352,20,20,26388
353,20,20,26426
354,20,21,26464
355,20,20,26501
356,20,20,26538
357,20,20,26576
358,20,20,26612
359,20,20,26649
360,15,20,26686
361,15,17,26720
362,15,16,26750
363,15,15,26779
364,15,15,26807
365,15,15,26836
366,15,15,26864
367,15,15,26892
368,15,15,26921
369,15,15,26949
370,15,15,26977
371,10,12,27002
372,10,11,27024
373,10,10,27043
374,10,10,27063
375,10,10,27082
376,10,10,27102
377,10,10,27121
378,10,10,27141
379,10,10,27160
380,10,10,27180
381,5,7,27196
382,5,6,27208
383,5,5,27219
384,5,5,27229
385,5,5,27239
386,5,5,27249
387,5,5,27260
388,5,5,27270
389,5,5,27280
390,0,5,27290
391,0,0,27290
392,0,3,27293
393,0,-3,27290
394,0,3,27294
395,0,-3,27289
396,0,2,27292
397,0,-3,27289
398,0,3,27293
399,0,0,27292
400,-5,0,27291
401,-5,-5,27282
402,-5,-5,27273
403,-5,-5,27263
404,-5,-5,27253
405,-5,-5,27244
406,-5,-5,27234
407,-5,-5,27224
408,-5,-5,27214
409,-5,-5,27204
410,-5,-5,27195
411,-10,-8,27182
412,-10,-9,27165
413,-10,-9,27146
414,-10,-10,27128
415,-10,-10,27110
416,-10,-10,27091
417,-10,-10,27072
418,-10,-10,27054
419,-10,-10,27035
420,-10,-10,27016
421,-15,-13,26994
422,-15,-14,26968
423,-15,-15,26941
424,-15,-15,26913
425,-15,-15,26885
426,-15,-15,26857
427,-15,-15,26829
428,-15,-15,26801
429,-15,-15,26773
430,-20,-15,26745
431,-20,-18,26714
432,-20,-19,26680
433,-20,-20,26643
434,-20,-20,26606
435,-20,-20,26569
436,-20,-20,26532
437,-20,-20,26494
438,-20,-20,26457
439,-20,-20,26420
440,-25,-20,26383
441,-25,-23,26343
442,-25,-24,26300
443,-25,-25,26254
444,-25,-25,26208
445,-25,-25,26162
446,-25,-25,26116
447,-25,-24,26069
448,-25,-25,26024
449,-25,-25,25978
450,-30,-24,25932
451,-30,-28,25883
452,-30,-31,25830
453,-30,-30,25775
454,-30,-29,25720
455,-30,-29,25665
456,-30,-29,25610
457,-30,-30,25556
458,-30,-30,25500
459,-30,-30,25445
460,-30,-30,25389
461,-35,-32,25331
462,-35,-34,25270
463,-35,-35,25206
464,-35,-35,25142
465,-35,-35,25078
466,-35,-35,25013
467,-35,-34,24949
468,-35,-35,24885
469,-35,-34,24822
470,-40,-35,24757
471,-40,-37,24690
472,-40,-39,24618
473,-40,-40,24546
474,-40,-39,24474
475,-40,-40,24400
476,-40,-40,24326
477,-40,-40,24253
478,-40,-41,24180
479,-40,-40,24107
480,-45,-40,24034
481,-45,-42,23957
482,-45,-42,23877
483,-45,-45,23796
484,-45,-45,23714
485,-45,-44,23631
486,-45,-45,23548
487,-45,-44,23466
488,-45,-45,23384
489,-45,-45,23302
490,-45,-44,23220
491,-50,-47,23134
492,-50,-48,23047
493,-50,-48,22960
494,-50,-51,22871
495,-50,-50,22783
496,-50,-48,22696
497,-50,-48,22608
498,-50,-48,22521
499,-50,-48,22432
500,-55,-48,22344
501,-55,-49,22256
502,-55,-49,22168
503,-55,-48,22079
504,-55,-48,21990
505,-55,-48,21902
506,-55,-48,21813
507,-55,-49,21724
508,-55,-48,21635
509,-55,-48,21547
510,-55,-49,21458
511,-60,-49,21369
512,-60,-49,21280
513,-60,-49,21192
514,-60,-49,21102
515,-60,-50,21013
516,-60,-48,20924
517,-60,-49,20836
518,-60,-49,20747
519,-60,-48,20658
520,-60,-45,20569
521,-65,-49,20481
522,-65,-49,20392
523,-65,-49,20303
524,-65,-48,20214
525,-65,-48,20126
526,-65,-49,20037
527,-65,-49,19948
528,-65,-50,19859
529,-65,-48,19771
530,-65,-49,19682
531,-70,-46,19593
532,-70,-49,19504
533,-70,-48,19416
534,-70,-48,19327
535,-70,-49,19238
536,-70,-48,19149
537,-70,-48,19060
538,-70,-49,18972
539,-70,-48,18882
540,-75,-49,18794
541,-75,-49,18705
542,-75,-49,18616
543,-75,-49,18527
544,-75,-49,18438
545,-75,-48,18350
546,-75,-49,18261
547,-75,-47,18171
548,-75,-49,18082
549,-75,-48,17994
550,-75,-48,17905
551,-80,-49,17816
552,-80,-49,17727
553,-80,-49,17638
554,-80,-49,17550
555,-80,-49,17460
556,-80,-50,17372
557,-80,-50,17283
558,-80,-48,17194
559,-80,-51,17106
560,-80,-48,17016
561,-85,-48,16928
562,-85,-48,16839
563,-85,-49,16750
564,-85,-49,16661
565,-85,-48,16572
566,-85,-49,16484
567,-85,-49,16395
568,-85,-50,16306
569,-85,-48,16217
570,-90,-49,16129
571,-90,-49,16040
572,-90,-49,15951
573,-90,-48,15862
574,-90,-49,15774
575,-90,-49,15685
576,-90,-48,15596
577,-90,-49,15508
578,-90,-50,15419
579,-90,-49,15330
580,-90,-49,15241
581,-95,-48,15152
582,-95,-49,15064
583,-95,-49,14975
584,-95,-49,14886
585,-95,-49,14798
586,-95,-49,14709
587,-95,-49,14620
588,-95,-52,14531
589,-95,-48,14443
590,-95,-49,14354
591,-100,-48,14266
592,-100,-49,14176
593,-100,-48,14088
594,-100,-49,14000
595,-100,-49,13911
596,-100,-48,13822
597,-100,-48,13733
598,-100,-48,13645
599,-100,-49,13556
600,-95,-49,13467
601,-95,-49,13378
602,-95,-48,13290
603,-95,-49,13201
604,-95,-49,13112
605,-95,-49,13024
606,-95,-48,12936
607,-95,-48,12847
608,-95,-49,12758
609,-95,-46,12669
610,-90,-48,12581
611,-90,-49,12492
612,-90,-49,12404
613,-90,-47,12315
614,-90,-48,12227
615,-90,-48,12138
616,-90,-48,12050
617,-90,-49,11961
618,-90,-49,11873
619,-90,-48,11784
620,-85,-47,11696
621,-85,-47,11607
622,-85,-48,11519
623,-85,-49,11430
624,-85,-51,11342
625,-85,-48,11253
626,-85,-48,11164
627,-85,-49,11076
628,-85,-48,10987
629,-85,-48,10898
630,-85,-48,10810
631,-80,-48,10722
632,-80,-47,10633
633,-80,-48,10544
634,-80,-48,10456
635,-80,-47,10368
636,-80,-49,10278
637,-80,-49,10190
638,-80,-46,10101
639,-80,-48,10013
640,-75,-49,9924
641,-75,-49,9835
642,-75,-48,9747
643,-75,-49,9658
644,-75,-49,9570
645,-75,-48,9481
646,-75,-48,9392
647,-75,-49,9304
648,-75,-49,9216
649,-75,-48,9126
650,-70,-49,9038
651,-70,-48,8950
652,-70,-50,8862
653,-70,-48,8772
654,-70,-48,8684
655,-70,-48,8596
656,-70,-47,8507
657,-70,-49,8418
658,-70,-48,8330
659,-70,-49,8242
660,-65,-49,8154
661,-65,-48,8064
662,-65,-48,7976
663,-65,-48,7888
664,-65,-49,7800
665,-65,-48,7711
666,-65,-48,7623
667,-65,-47,7535
668,-65,-48,7446
669,-65,-50,7358
670,-60,-49,7269
671,-60,-49,7181
672,-60,-49,7093
673,-60,-49,7004
674,-60,-49,6916
675,-60,-48,6828
676,-60,-50,6739
677,-60,-49,6650
678,-60,-49,6562
679,-60,-48,6474
680,-55,-48,6385
681,-55,-48,6297
682,-55,-48,6208
683,-55,-48,6121
684,-55,-48,6033
685,-55,-49,5944
686,-55,-48,5856
687,-55,-48,5768
688,-55,-48,5680
689,-55,-48,5592
690,-55,-47,5504
691,-50,-47,5417
692,-50,-48,5330
693,-50,-48,5242
694,-50,-48,5154
695,-50,-48,5067
696,-50,-49,4980
697,-50,-48,4892
698,-50,-48,4804
699,-50,-47,4717
700,-50,-47,4630
701,-45,-46,4544
702,-45,-45,4461
703,-45,-46,4379
704,-45,-43,4298
705,-45,-46,4215
706,-45,-45,4132
707,-45,-45,4050
708,-45,-44,3969
709,-45,-45,3887
710,-40,-45,3804
711,-40,-42,3724
712,-40,-40,3649
713,-40,-40,3576
714,-40,-41,3503
715,-40,-39,3429
716,-40,-40,3356
717,-40,-40,3283
718,-40,-41,3210
719,-40,-41,3137
720,-40,-40,3063
721,-35,-38,2992
722,-35,-35,2926
723,-35,-36,2862
724,-35,-37,2798
725,-35,-35,2733
726,-35,-35,2668
727,-35,-35,2605
728,-35,-35,2541
729,-35,-35,2477
730,-30,-36,2412
731,-30,-32,2350
732,-30,-31,2293
733,-30,-30,2238
734,-30,-30,2183
735,-30,-31,2128
736,-30,-29,2072
737,-30,-29,2017
738,-30,-30,1961
739,-30,-31,1906
740,-30,-29,1852
741,-25,-29,1800
742,-25,-26,1751
743,-25,-26,1704
744,-25,-25,1658
745,-25,-25,1611
746,-25,-24,1565
747,-25,-24,1520
748,-25,-25,1474
749,-25,-25,1428
750,-25,-26,1382
751,-20,-22,1338
752,-20,-21,1299
753,-20,-20,1261
754,-20,-20,1224
755,-20,-20,1188
756,-20,-20,1150
757,-20,-20,1114
758,-20,-20,1077
759,-20,-20,1040
760,-15,-20,1002
761,-15,-18,968
762,-15,-16,938
763,-15,-16,909
764,-15,-15,880
765,-15,-15,852
766,-15,-15,825
767,-15,-15,797
768,-15,-15,770
769,-15,-15,742
770,-15,-15,714
771,-10,-12,688
772,-10,-11,668
773,-10,-10,648
774,-10,-10,628
775,-10,-10,609
776,-10,-10,589
777,-10,-10,570
778,-10,-10,550
779,-10,-10,531
780,-5,-10,512
781,-5,-7,496
782,-5,-5,484
783,-5,-5,474
784,-5,-5,463
785,-5,-5,452
786,-5,-5,442
787,-5,-5,431
788,-5,-5,421
789,-5,-5,411
790,-5,-5,401
791,0,0,400
792,0,0,399
793,0,0,400
794,0,0,399
795,0,3,402
796,0,-3,399
797,0,3,402
798,0,-3,399
799,0,4,403
800,5,0,400
