CNT,TARGET,CURRENT,COUNTS
0,0,0,0
1,5,0,0
2,5,0,0
3,5,14,10
4,5,6,17
5,5,6,24
6,5,5,30
7,5,6,37
8,5,5,43
9,5,5,49
10,10,6,55
11,10,9,66
12,10,10,77
13,10,10,89
14,10,10,100
15,10,10,112
16,10,10,124
17,10,10,136
18,10,10,148
19,10,10,160
20,10,10,173
21,15,14,188
22,15,15,205
23,15,15,222
24,15,15,240
25,15,15,257
26,15,15,275
27,15,15,293
28,15,15,311
29,15,15,328
30,15,15,346
31,20,19,367
32,20,19,390
33,20,20,413
34,20,20,436
35,20,20,459
36,20,20,483
37,20,20,506
38,20,20,530
39,20,20,554
40,20,20,577
41,25,24,604
42,25,24,633
43,25,25,661
44,25,24,690
45,25,25,719
46,25,25,748
47,25,25,777
48,25,25,806
49,25,25,835
50,25,25,864
51,30,29,897
52,30,29,931
53,30,30,966
54,30,30,1000
55,30,30,1035
56,30,30,1069
57,30,30,1104
58,30,30,1139
59,30,30,1174
60,30,30,1208
61,35,34,1247
62,35,35,1286
63,35,35,1326
64,35,35,1367
65,35,35,1407
66,35,35,1448
67,35,35,1489
68,35,35,1529
69,35,35,1570
70,35,35,1610
71,40,38,1654
72,40,40,1699
73,40,40,1745
74,40,40,1791
75,40,40,1838
76,40,40,1884
77,40,40,1930
78,40,40,1976
79,40,40,2022
80,40,40,2069
81,45,44,2119
82,45,45,2170
83,45,44,2222
84,45,45,2273
85,45,45,2325
86,45,45,2377
87,45,45,2429
88,45,45,2481
89,45,45,2533
90,45,45,2586
91,50,49,2641
92,50,50,2698
93,50,50,2756
94,50,50,2813
95,50,50,2871
96,50,50,2928
97,50,50,2986
98,50,50,3044
99,50,50,3102
100,50,50,3160
101,55,54,3221
102,55,54,3283
103,55,54,3346
104,55,55,3410
105,55,55,3473
106,55,55,3536
107,55,55,3600
108,55,55,3664
109,55,55,3727
110,60,55,3791
111,60,59,3859
112,60,60,3927
113,60,60,3996
114,60,60,4065
115,60,60,4134
116,60,60,4203
117,60,60,4272
118,60,60,4341
119,60,60,4410
120,65,60,4480
121,65,64,4553
122,65,65,4627
123,65,65,4702
124,65,65,4776
125,65,65,4851
126,65,65,4926
127,65,65,5001
128,65,65,5075
129,65,65,5150
130,65,65,5224
131,70,69,5303
132,70,70,5383
133,70,70,5464
134,70,70,5544
135,70,70,5625
136,70,70,5705
137,70,70,5786
138,70,70,5866
139,70,70,5947
140,75,70,6028
141,75,74,6112
142,75,75,6198
143,75,75,6284
144,75,75,6370
145,75,75,6456
146,75,75,6542
147,75,75,6629
148,75,75,6715
149,75,75,6802
150,75,75,6889
151,80,79,6979
152,80,80,7070
153,80,79,7162
154,80,80,7254
155,80,80,7346
156,80,80,7438
157,80,80,7530
158,80,80,7622
159,80,80,7714
160,80,80,7806
161,85,85,7902
162,85,84,7999
163,85,85,8097
164,85,85,8195
165,85,85,8292
166,85,85,8390
167,85,85,8488
168,85,85,8586
169,85,85,8684
170,85,85,8782
171,90,90,8884
172,90,89,8988
173,90,90,9091
174,90,90,9194
175,90,90,9297
176,90,90,9401
177,90,90,9505
178,90,90,9609
179,90,90,9713
180,90,90,9817
181,95,94,9925
182,95,95,10034
183,95,95,10143
184,95,95,10252
185,95,95,10361
186,95,95,10470
187,95,95,10580
188,95,95,10689
189,95,95,10799
190,100,95,10908
191,100,100,11022
192,100,100,11137
193,100,100,11251
194,100,100,11366
195,100,100,11481
196,100,100,11596
197,100,100,11711
198,100,100,11826
199,100,100,11942
200,100,100,12057
201,95,95,12168
202,95,96,12278
203,95,95,12388
204,95,95,12498
205,95,95,12607
206,95,95,12717
207,95,95,12826
208,95,95,12936
209,95,95,13046
210,95,95,13156
211,90,90,13260
212,90,90,13365
213,90,90,13468
214,90,90,13572
215,90,91,13677
216,90,90,13780
217,90,90,13884
218,90,90,13988
219,90,90,14092
220,85,90,14196
221,85,85,14294
222,85,85,14393
223,85,85,14491
224,85,85,14589
225,85,85,14688
226,85,85,14786
227,85,85,14884
228,85,85,14983
229,85,85,15081
230,80,85,15179
231,80,80,15273
232,80,80,15366
233,80,80,15458
234,80,80,15551
235,80,80,15643
236,80,80,15736
237,80,80,15828
238,80,80,15921
239,80,80,16014
240,80,80,16106
241,75,76,16195
242,75,76,16282
243,75,75,16368
244,75,75,16455
245,75,75,16542
246,75,75,16629
247,75,75,16716
248,75,75,16802
249,75,75,16889
250,70,75,16975
251,70,71,17058
252,70,70,17139
253,70,71,17220
254,70,70,17301
255,70,70,17381
256,70,70,17462
257,70,70,17543
258,70,70,17624
259,70,70,17705
260,70,70,17786
261,65,65,17863
262,65,65,17938
263,65,65,18014
264,65,65,18089
265,65,66,18165
266,65,65,18240
267,65,65,18315
268,65,65,18391
269,65,65,18466
270,65,65,18542
271,60,61,18613
272,60,61,18683
273,60,60,18752
274,60,60,18822
275,60,61,18892
276,60,60,18961
277,60,60,19031
278,60,61,19101
279,60,61,19170
280,60,60,19240
281,55,56,19306
282,55,55,19370
283,55,55,19434
284,55,55,19498
285,55,55,19562
286,55,55,19626
287,55,55,19690
288,55,55,19753
289,55,55,19817
290,55,55,19881
291,50,51,19941
292,50,51,20000
293,50,50,20058
294,50,50,20116
295,50,50,20174
296,50,50,20233
297,50,50,20291
298,50,50,20349
299,50,50,20407
300,50,50,20465
301,45,46,20519
302,45,45,20571
303,45,45,20624
304,45,45,20677
305,45,45,20729
306,45,45,20782
307,45,45,20834
308,45,45,20887
309,45,45,20939
310,45,45,20992
311,40,41,21040
312,40,41,21087
313,40,40,21134
314,40,40,21181
315,40,41,21227
316,40,40,21274
317,40,40,21321
318,40,40,21368
319,40,40,21414
320,35,40,21461
321,35,36,21504
322,35,35,21545
323,35,36,21586
324,35,35,21627
325,35,36,21668
326,35,35,21709
327,35,35,21750
328,35,35,21791
329,35,35,21832
330,30,35,21873
331,30,31,21910
332,30,31,21946
333,30,30,21981
334,30,30,22016
335,30,30,22051
336,30,30,22087
337,30,30,22122
338,30,30,22157
339,30,30,22192
340,25,31,22227
341,25,26,22259
342,25,26,22289
343,25,26,22319
344,25,25,22348
345,25,25,22378
346,25,25,22407
347,25,25,22436
348,25,25,22466
349,25,25,22495
350,25,25,22524
351,20,21,22550
352,20,21,22574
353,20,21,22598
354,20,20,22622
355,20,20,22646
356,20,20,22670
357,20,20,22693
358,20,20,22717
359,20,20,22741
360,15,20,22764
361,15,16,22784
362,15,15,22803
363,15,15,22821
364,15,15,22839
365,15,16,22858
366,15,15,22875
367,15,15,22893
368,15,15,22912
369,15,15,22930
370,10,15,22947
371,10,11,22962
372,10,10,22974
373,10,11,22987
374,10,10,22999
375,10,10,23011
376,10,10,23023
377,10,10,23036
378,10,10,23048
379,10,10,23060
380,10,10,23072
381,5,5,23080
382,5,6,23087
383,5,5,23094
384,5,5,23100
385,5,4,23106
386,5,5,23112
387,5,5,23119
388,5,5,23125
389,5,5,23132
390,5,5,23138
391,0,4,23140
392,0,0,23140
393,0,0,23140
394,0,0,23140
395,0,0,23140
396,0,0,23140
397,0,0,23140
398,0,0,23140
399,0,0,23140
400,0,0,23140
401,-5,0,23140
402,-5,0,23140
403,-5,0,23139
404,-5,0,23139
405,-5,0,23138
406,-5,-7,23127
407,-5,-6,23120
408,-5,-5,23113
409,-5,-7,23105
410,-5,-4,23100
411,-10,-9,23089
412,-10,-9,23078
413,-10,-10,23066
414,-10,-10,23054
415,-10,-10,23042
416,-10,-10,23030
417,-10,-10,23018
418,-10,-10,23005
419,-10,-11,22993
420,-10,-10,22981
421,-15,-14,22966
422,-15,-14,22949
423,-15,-15,22931
424,-15,-15,22914
425,-15,-15,22896
426,-15,-15,22878
427,-15,-15,22861
428,-15,-15,22843
429,-15,-15,22825
430,-15,-15,22807
431,-20,-19,22785
432,-20,-20,22763
433,-20,-20,22740
434,-20,-20,22717
435,-20,-20,22693
436,-20,-20,22670
437,-20,-20,22647
438,-20,-20,22623
439,-20,-20,22600
440,-25,-20,22576
441,-25,-24,22549
442,-25,-25,22521
443,-25,-25,22492
444,-25,-25,22463
445,-25,-25,22434
446,-25,-25,22405
447,-25,-25,22376
448,-25,-25,22347
449,-25,-25,22318
450,-30,-25,22289
451,-30,-29,22256
452,-30,-30,22222
453,-30,-30,22187
454,-30,-30,22153
455,-30,-30,22118
456,-30,-30,22083
457,-30,-30,22048
458,-30,-30,22013
459,-30,-30,21979
460,-35,-30,21944
461,-35,-34,21906
462,-35,-34,21866
463,-35,-35,21825
464,-35,-34,21785
465,-35,-35,21745
466,-35,-35,21704
467,-35,-35,21664
468,-35,-35,21623
469,-35,-35,21582
470,-40,-35,21541
471,-40,-39,21497
472,-40,-40,21452
473,-40,-39,21406
474,-40,-40,21360
475,-40,-40,21314
476,-40,-40,21267
477,-40,-40,21221
478,-40,-40,21174
479,-40,-40,21127
480,-40,-40,21081
481,-45,-44,21031
482,-45,-45,20979
483,-45,-45,20928
484,-45,-45,20876
485,-45,-45,20824
486,-45,-45,20772
487,-45,-45,20720
488,-45,-45,20668
489,-45,-45,20616
490,-50,-45,20565
491,-50,-49,20509
492,-50,-50,20452
493,-50,-50,20395
494,-50,-50,20337
495,-50,-50,20280
496,-50,-50,20222
497,-50,-50,20164
498,-50,-50,20107
499,-50,-50,20049
500,-50,-50,19991
501,-55,-54,19930
502,-55,-54,19868
503,-55,-55,19805
504,-55,-55,19741
505,-55,-55,19678
506,-55,-55,19615
507,-55,-55,19552
508,-55,-55,19489
509,-55,-55,19425
510,-55,-55,19361
511,-60,-59,19294
512,-60,-60,19226
513,-60,-60,19157
514,-60,-60,19088
515,-60,-60,19019
516,-60,-60,18950
517,-60,-60,18880
518,-60,-60,18812
519,-60,-60,18742
520,-65,-60,18673
521,-65,-65,18599
522,-65,-65,18525
523,-65,-65,18450
524,-65,-65,18376
525,-65,-65,18301
526,-65,-65,18226
527,-65,-65,18151
528,-65,-65,18076
529,-65,-65,18001
530,-65,-65,17925
531,-70,-69,17847
532,-70,-70,17767
