CNT,TARGET,CURRENT,COUNTS
0,0,0,0
1,5,0,1
2,5,5,9
3,5,5,15
4,5,4,21
5,5,6,28
6,5,6,33
7,5,5,39
8,5,6,45
9,5,5,51
10,10,5,58
11,10,10,68
12,10,10,80
13,10,10,91
14,10,10,103
15,10,10,115
16,10,10,127
17,10,10,139
18,10,10,151
19,10,10,163
20,15,10,175
21,15,14,191
22,15,14,208
23,15,15,225
24,15,15,243
25,15,15,260
26,15,15,278
27,15,15,295
28,15,15,313
29,15,15,331
30,15,15,348
31,20,19,370
32,20,19,392
33,20,20,415
34,20,20,438
35,20,20,461
36,20,20,485
37,20,20,508
38,20,20,531
39,20,20,555
40,20,20,578
41,25,24,605
42,25,25,634
43,25,25,662
44,25,25,691
45,25,25,720
46,25,25,749
47,25,25,778
48,25,25,807
49,25,25,836
50,30,25,865
51,30,29,898
52,30,30,932
53,30,30,967
54,30,30,1001
55,30,30,1036
56,30,30,1070
57,30,30,1105
58,30,30,1140
59,30,30,1175
60,30,30,1210
61,35,33,1249
62,35,34,1288
63,35,34,1328
64,35,35,1369
65,35,35,1409
66,35,35,1450
67,35,35,1490
68,35,35,1531
69,35,35,1571
70,35,35,1612
71,40,39,1656
72,40,40,1701
73,40,40,1747
74,40,40,1793
75,40,40,1840
76,40,40,1886
77,40,40,1932
78,40,40,1979
79,40,40,2025
80,45,40,2071
81,45,44,2121
82,45,45,2172
83,45,45,2224
84,45,45,2276
85,45,45,2328
86,45,45,2380
87,45,45,2431
88,45,45,2483
89,45,45,2535
90,45,45,2587
91,50,49,2643
92,50,50,2700
93,50,50,2758
94,50,50,2815
95,50,50,2872
96,50,50,2930
97,50,50,2987
98,50,50,3045
99,50,50,3103
100,55,50,3161
101,55,54,3222
102,55,55,3285
103,55,55,3348
104,55,55,3411
105,55,55,3474
106,55,55,3537
107,55,55,3601
108,55,55,3664
109,55,55,3728
110,55,55,3792
111,60,59,3859
112,60,60,3928
113,60,60,3997
114,60,60,4066
115,60,60,4134
116,60,60,4204
117,60,60,4273
118,60,60,4342
119,60,60,4412
120,60,60,4481
121,65,64,4555
122,65,64,4629
123,65,65,4704
124,65,65,4778
125,65,65,4853
126,65,65,4928
127,65,65,5003
128,65,65,5077
129,65,65,5152
130,70,65,5228
131,70,69,5306
132,70,70,5386
133,70,70,5467
134,70,70,5547
135,70,70,5627
136,70,70,5708
137,70,70,5789
138,70,70,5870
139,70,70,5950
140,70,70,6031
141,75,74,6115
142,75,75,6201
143,75,75,6287
144,75,75,6373
145,75,75,6459
146,75,75,6545
147,75,75,6631
148,75,75,6718
149,75,75,6804
150,80,75,6890
151,80,79,6981
152,80,80,7072
153,80,80,7164
154,80,80,7255
155,80,80,7347
156,80,80,7439
157,80,80,7531
158,80,80,7623
159,80,80,7715
160,80,80,7807
161,85,84,7903
162,85,85,8000
163,85,85,8097
164,85,85,8195
165,85,85,8293
166,85,85,8392
167,85,85,8490
168,85,85,8588
169,85,85,8686
170,85,85,8784
171,90,90,8887
172,90,89,8990
173,90,90,9093
174,90,90,9196
175,90,90,9300
176,90,90,9404
177,90,90,9508
178,90,90,9612
179,90,90,9716
180,90,90,9819
181,95,95,9927
182,95,95,10036
183,95,95,10145
184,95,95,10255
185,95,95,10364
186,95,95,10474
187,95,95,10583
188,95,95,10693
189,95,95,10802
190,100,95,10912
191,100,100,11025
192,100,100,11140
193,100,100,11255
194,100,100,11370
195,100,100,11485
196,100,100,11600
197,100,100,11715
198,100,100,11829
199,100,99,11944
200,95,100,12059
201,95,95,12170
202,95,95,12280
203,95,96,12390
204,95,95,12499
205,95,95,12609
206,95,95,12719
207,95,95,12829
208,95,95,12939
